"family_taxon","taxon","preferred_authority","common_name","name_tvk","rtvk","organism_key"
"Geometridae","Cleorodes lichenaria","(Hufnagel, 1767)","Brussels Lace","NBNSYS0000006037","NBNSYS0000006037","NBNORG0000009245"
"Geometridae","Coenocalpe lapidata","(Hübner, [1809])","Slender-striped Rufous","NHMSYS0021144042","NHMSYS0021144042","NBNORG0000057728"
"Geometridae","Coenotephria salicata","(Hübner, [1799])","Striped Twin-spot Carpet","NHMSYS0021167161","NHMSYS0021167161","NBNORG0000122553"
"Geometridae","Colostygia multistrigaria","(Haworth, 1809)","Mottled Grey","NBNSYS0000005855","NBNSYS0000005855","NBNORG0000009141"
"Geometridae","Colostygia olivata","([Denis & Schiffermüller], 1775)","Beech-green Carpet","NHMSYS0021143999","NHMSYS0021143999","NBNORG0000057838"
"Geometridae","Colostygia pectinataria","(Knoch, 1781)","Green Carpet","NBNSYS0000005856","NBNSYS0000005856","NBNORG0000009142"
"Geometridae","Colotois pennaria","(Linnaeus, 1761)","Feathered Thorn","NHMSYS0000501963","NHMSYS0000501963","NBNORG0000057839"
"Geometridae","Comibaena bajularia","([Denis & Schiffermüller], 1775)","Blotched Emerald","NHMSYS0021144316","NHMSYS0021144316","NBNORG0000057840"
"Geometridae","Cosmorhoe ocellata","(Linnaeus, 1758)","Purple Bar","NBNSYS0000005832","NBNSYS0000005832","NBNORG0000009126"
"Geometridae","Costaconvexa centrostrigaria","(Wollaston, 1858)","Traveller","NHMSYS0000502004","NHMSYS0000502004","NBNORG0000057858"
"Geometridae","Costaconvexa polygrammata","(Borkhausen, 1794)","Many-lined","NBNSYS0000005819","NBNSYS0000005819","NBNORG0000009119"
"Geometridae","Crocallis dardoinaria","Donzel, 1840","Dusky Scalloped Oak","NHMSYS0020531189","NHMSYS0020531189","NBNORG0000097759"
